,headline,source,date
0,focus the covid-19 fight in black cities,The New York Times,2020-04-09T00:38:51+0000
1,a family of three gets sick with covid-19 symptoms. who has it?,The New York Times,2020-04-14T09:00:19+0000
2,heartache in the hot zone: the front line against covid-19,The New York Times,2020-04-11T14:30:05+0000
3,"late in the game, russia steps up to covid-19",The New York Times,2020-04-07T05:00:07+0000
4,police chief accused of linking deputy’s covid-19 death to ‘homosexual events’,The New York Times,2020-04-13T17:50:45+0000
5,‘nobody cares about the little people’: cruise crews file covid-19 suit,The New York Times,2020-04-14T22:39:36+0000
6,trump has a gut feeling about what covid-19 means for 2020,The New York Times,2020-04-15T09:00:38+0000
7,the racial time bomb in the covid-19 crisis,The New York Times,2020-04-02T02:06:30+0000
8,"pastor who defied social distancing dies after contracting covid-19, church says",The New York Times,2020-04-14T05:21:56+0000
9,navy captain removed from carrier tests positive for covid-19,The New York Times,2020-04-05T15:55:54+0000
10,google searches can help us find emerging covid-19 outbreaks,The New York Times,2020-04-05T15:32:39+0000
11,"life, covid-free, after 22 days in the hospital",The New York Times,2020-04-03T22:37:33+0000
12,"my father didn’t have covid-19, but he almost died because of it",The New York Times,2020-04-11T18:30:08+0000
13,doctor charged with fraud after u.s. says he sold treatment as ‘100 percent’ cure for covid-19,The New York Times,2020-04-18T03:58:34+0000
14,"asthma is absent among top covid-19 risk factors, early data shows",The New York Times,2020-04-16T14:35:51+0000
15,don’t let trump’s cult of personality make covid-19 worse,The New York Times,2020-04-08T09:00:20+0000
16,why we don’t know the true death rate for covid-19,The New York Times,2020-04-17T09:00:25+0000
17,this won’t end for anyone until it ends for everyone,The New York Times,2020-04-07T09:00:14+0000
18,what historians will see when they look back on the covid-19 pandemic of 2020,The New York Times,2020-04-15T20:44:50+0000
19,the u.s.n.s. comfort is now taking covid-19 patients. here’s what to expect.,The New York Times,2020-04-08T09:00:31+0000
20,the u.s.n.s. comfort is now taking covid-19 patients. here’s what to expect.,The New York Times,2020-04-08T09:00:31+0000
21,the real tragedy of not having enough covid-19 tests,The New York Times,2020-04-06T09:00:14+0000
22,smokers and vapers may be at greater risk for covid-19,The New York Times,2020-04-09T16:01:37+0000
23,"hope, and new life, in a brooklyn maternity ward fighting covid-19",The New York Times,2020-04-12T09:01:15+0000
24,brace yourself for waves of coronavirus infections,The New York Times,2020-04-04T18:37:00+0000
25,u.s. deported thousands amid covid-19 outbreak. some proved to be sick.,The New York Times,2020-04-18T09:00:15+0000
26,‘it’s hit our front door’: homes for the disabled see a surge of covid-19,The New York Times,2020-04-08T22:32:59+0000
27,"‘unbelievable’ timing: as coronavirus rages, trump disregards advice to tighten clean air rules",The New York Times,2020-04-14T13:16:51+0000
28,a new covid-19 crisis: domestic abuse rises worldwide,The New York Times,2020-04-06T14:46:37+0000
29,"most new york coronavirus cases came from europe, genomes show",The New York Times,2020-04-09T01:55:45+0000
30,putin’s bleak covid-19 admission: ‘we don’t have much to brag about’,The New York Times,2020-04-13T18:03:45+0000
31,"kious kelly, a nurse in the covid fight, dies at 48",The New York Times,2020-03-31T19:31:55+0000
32,"covid-19 changed how the world does science, together",The New York Times,2020-04-01T09:00:28+0000
33,coronavirus doesn’t care where you come from. trump still does.,The New York Times,2020-03-31T23:16:55+0000
34,"weekly health quiz: coronavirus, running and comfort foods",The New York Times,2020-04-17T09:00:01+0000
35,"‘this is only halftime,’ cuomo says of new york state’s fight against coronavirus",AP,2020-04-19T15:52:40+0000
