,headline,source,date
0,Outrunning COVID-19 twice,TechCrunch,2020-04-08T22:30:40Z
1,Don't Be Fooled by Covid-19 Carpetbaggers,Wired,2020-04-05T16:00:00Z
2,Please Don't Use Your iPhone to Self-Diagnose COVID-19,Lifehacker.com,2020-03-24T14:30:00Z
3,What We Know About a Potential COVID-19 Vaccine,Lifehacker.com,2020-03-25T15:30:00Z
4,Help Researchers Track COVID-19 Spread With This App,Lifehacker.com,2020-04-02T16:30:00Z
5,Here's a New COVID-19 Data Site to Obsessively Refresh,Lifehacker.com,2020-03-25T19:45:00Z
6,"Is It a Panic Attack, or COVID-19?",Lifehacker.com,2020-03-26T15:30:00Z
7,Migrants aren’t to blame for COVID-19,The Verge,2020-03-27T12:15:00Z
8,Raspberry Pi will power ventilators for COVID-19 patients,Engadget,2020-04-13T16:37:29Z
9,Gamescom cancels its in-person event due to COVID-19,Engadget,2020-04-16T17:40:44Z
10,Apple Maps will show COVID-19 testing locations,Engadget,2020-04-11T18:10:20Z
11,Facebook sues cloaking software maker for deceptive COVID-19 ads,Engadget,2020-04-09T19:45:20Z
12,Games Done Quickly's stream for COVID-19 relief has begun,Engadget,2020-04-17T16:08:21Z
13,Apple's Siri helps Americans wondering if they have COVID-19,Engadget,2020-03-22T16:44:00Z
14,The COVID-19 shutdown is making weather prediction more difficult,Engadget,2020-04-08T17:30:09Z
15,Facebook warns users who 'interacted' with COVID-19 misinformation,Engadget,2020-04-16T14:07:05Z
16,Apple launches COVID-19 screening website,TechCrunch,2020-03-27T16:09:44Z
17,Look Up Your State's COVID-19 Test Results With This Tracker,Lifehacker.com,2020-03-24T20:30:00Z
18,"As Covid-19 Spreads, Truckers Need to Keep on Trucking",Wired,2020-03-20T11:00:00Z
19,Are Running or Cycling Actually Risks for Spreading Covid-19?,Wired,2020-04-14T10:00:00Z
20,Hospitals Quickly Reshape to Treat Covid-19 Patients,Wired,2020-04-15T19:46:00Z
21,Does Vaping Raise Your Risk of Covid-19 Symptoms?,Wired,2020-04-10T11:00:00Z
22,The Reality of Covid-19 Is Hitting Teens Especially Hard,Wired,2020-04-06T11:00:00Z
23,Facebook's interactive COVID-19 map displays symptoms by county,Engadget,2020-04-20T12:22:15Z
24,Microsoft blood bot helps recovered COVID-19 patients donate plasma,Engadget,2020-04-20T20:06:19Z
25,Can employers mandate COVID-19 testing?,TechCrunch,2020-04-20T19:46:32Z
26,Google saw more than 18 million daily malware and phishing emails related to COVID-19 last week,The Verge,2020-04-16T19:15:19Z
27,The Apple-Google Contact Tracing Plan Won't Stop Covid Alone,Wired,2020-04-14T19:04:07Z
28,"Birth, Death, Weddings: An Oral History of Covid-19 Disruptions",Wired,2020-03-27T21:55:49Z
29,Reddit’s Wedding Planners Pivot to Covid-19 Crisis Comms,Wired,2020-03-28T14:00:00Z
30,Can a Wearable Detect Covid-19 Before Symptoms Appear?,Wired,2020-04-14T21:01:07Z
31,Here’s How Covid-19 Immunity Compares to Other Diseases,Wired,2020-04-17T20:43:49Z
32,The Covid-19 Newsletter That's By Doctors for Doctors,Wired,2020-04-20T13:00:00Z
33,Covid-19 Is Our 9/11. Who Will Be Our Rudy Giuliani?,Wired,2020-03-31T18:23:34Z
34,Amazon building COVID-19 test lab for workers,The Verge,2020-04-10T08:09:12Z
35,SF survey addresses gig workers’ concerns amid COVID-19 pandemic,TechCrunch,2020-03-25T19:16:33Z
36,Zillow suspends home buying due to COVID-19,TechCrunch,2020-03-23T15:56:25Z
37,EU parliament moves to email voting during COVID-19,TechCrunch,2020-03-23T17:38:11Z
38,Target pauses plans for grocery pickup amid COVID-19 outbreak,TechCrunch,2020-03-26T16:15:42Z
39,Daily Crunch: Clearstep’s chatbot offers in-depth COVID-19 screening,TechCrunch,2020-03-27T18:26:52Z
40,Yelp pauses GoFundMe Covid-19 fundraising after opt-out outcry,TechCrunch,2020-03-27T14:53:20Z
41,Airbnb is buying trust during the COVID-19 travel slowdown,TechCrunch,2020-04-10T14:06:10Z
42,"I had COVID-19, but my tech guilt is worse",TechCrunch,2020-04-09T19:33:12Z
43,Bezos details Amazon’s COVID-19 testing plans in shareholder letter,TechCrunch,2020-04-16T12:20:14Z
44,"Hydroxychloroquine, chloroquine and other potential COVID-19 treatments explained",TechCrunch,2020-03-20T19:37:48Z
45,TripActions reportedly lays off hundreds amid COVID-19 travel freeze,TechCrunch,2020-03-25T11:10:36Z
46,Computex delayed until late-September over continued COVID-19 concerns,TechCrunch,2020-03-24T12:56:52Z
47,Tech’s coveted internships are getting canceled due to COVID-19,TechCrunch,2020-03-25T19:46:42Z
48,What you need to know about COVID-19-related cyberattacks,TechCrunch,2020-04-14T13:42:05Z
49,Chinese startup Rokid pitches COVID-19 detection glasses in U.S.,TechCrunch,2020-04-16T07:05:43Z
50,VidCon joins the list of events canceled by COVID-19,TechCrunch,2020-03-23T18:09:02Z
51,Dear Sophie: How is COVID-19 affecting immigration?,TechCrunch,2020-03-24T14:15:40Z
52,Daily Crunch: Streaming services respond to COVID-19,TechCrunch,2020-03-20T17:11:18Z
53,Tencent launches $100M fund to fight COVID-19,TechCrunch,2020-03-25T18:27:33Z
54,France is officially working on ‘Stop Covid’ contact-tracing app,TechCrunch,2020-04-08T16:24:40Z
55,Investors explain COVID-19’s impact on consumer startups,TechCrunch,2020-04-16T14:00:47Z
56,Instagram founders launch COVID-19 spread tracker Rt.live,TechCrunch,2020-04-18T20:25:13Z
57,Now You Can Find a COVID-19 Testing Center Using Google,Lifehacker.com,2020-04-17T21:57:00Z
58,Get Up-to-Date Information on COVID-19 From the WHO Using WhatsApp,Lifehacker.com,2020-03-20T20:15:00Z
59,"Sorry, We Did Not All Get and Recover From COVID-19 This Winter",Lifehacker.com,2020-04-16T18:18:00Z
60,Chloroquine Is Not a Ready-to-Go Wonder Drug for COVID-19,Lifehacker.com,2020-03-24T16:15:00Z
61,"Get a Massive Collection of PC Games, Books, and Comics by Donating to COVID-19 Relief",Lifehacker.com,2020-04-01T18:15:00Z
62,How to Make a CDC-Approved Cloth Face Mask (and Rules to Follow),Wired,2020-04-09T18:00:00Z
63,"The Biggest Coronavirus Myths, Busted",Wired,2020-04-03T18:32:19Z
64,Trump Isn't Wrong About Investigating WHO,Wired,2020-04-10T12:00:00Z
65,Modified Sleep Apnea Machines May Ease the Ventilator Crunch,Wired,2020-04-10T12:00:00Z
66,EU data portal launches to support COVID-19 research,Yahoo.com,2020-04-20T16:38:07Z
67,How to Watch Elton John's Benefit Concert for Medical Workers Sunday Night,Lifehacker.com,2020-03-28T13:00:00Z
68,"What to Watch Tonight, April 1, 2020",Lifehacker.com,2020-04-01T21:00:00Z
69,You Can Get Two Months of Stadia Pro For Free Right Now,Lifehacker.com,2020-04-11T14:30:00Z
70,Don't Count on Getting a Refund From Ticketmaster for a Postponed Show,Lifehacker.com,2020-04-15T20:45:00Z
71,COVID-19 isn't stopping Verizon's 5G rollout,Mashable,2020-04-18T17:36:08Z
72,The CDC launches a “coronavirus self-checker” bot called Clara for people in the United States,TechCrunch,2020-03-23T08:24:10Z
73,New crowdsourced COVID-19 symptom map could build a more complete pandemic picture,TechCrunch,2020-03-25T13:27:47Z
74,COVID-19 symptom self-reporting app from startup Zoe and academic partners expands to the U.S.,TechCrunch,2020-04-09T15:53:54Z
75,CDC’s new guidance around COVID-19 contact sends potentially exposed critical employees back to work,TechCrunch,2020-04-09T14:20:13Z
76,Oxford Uni academics launch a tracker for COVID-19 policy interventions,TechCrunch,2020-03-25T15:11:16Z
77,Startup group works to get flat-packed protective boxes to frontline COVID-19 medical workers,TechCrunch,2020-03-31T14:48:01Z
78,"Operation Covid-19 will allow self-reporting of cases, to get ahead of official figures",TechCrunch,2020-04-01T10:54:28Z
79,Daily Crunch: Airbnb offers housing for healthcare workers,TechCrunch,2020-03-26T17:08:01Z
80,Daily Crunch: Jack Dorsey announces $1B relief fund,TechCrunch,2020-04-08T16:13:13Z
81,GM and Ventec Life Systems partner to ramp up production of ventilators,TechCrunch,2020-03-21T01:18:04Z
82,Bird lays off about 30% of workforce amid COVID-19 pandemic,TechCrunch,2020-03-27T18:26:19Z
83,IBM and The Weather Channel launch detailed local COVID-19 maps and data tracking,TechCrunch,2020-03-25T15:14:28Z
84,Airbnb will pay hosts $250 million to help cover cancellations due to COVID-19,TechCrunch,2020-03-30T22:00:28Z
85,Cloudflare CEO pledges to double 2020 internship class,TechCrunch,2020-04-02T13:00:05Z
86,Airbnb turns to private equity to raise $1 billion,TechCrunch,2020-04-06T20:35:58Z
87,GE Healthcare and Microsoft are bringing a COVID-19 patient monitoring tool to health systems,TechCrunch,2020-04-15T13:05:25Z
88,FDA debuts new online portal to encourage donation of plasma from recovered COVID-19 patients,TechCrunch,2020-04-16T16:39:22Z
89,ER docs don smart rings to better predict COVID-19 infections,Engadget,2020-03-23T19:33:00Z
90,The COVID-19 Humble Bundle pairs great games with a great cause,Engadget,2020-04-01T11:01:00Z
91,FCC approves $200 million plan to fund COVID-19 telehealth services,Engadget,2020-04-03T16:44:00Z
92,MIT is working on a way to track COVID-19 while protecting privacy,Engadget,2020-04-09T19:25:35Z
93,"400,000 new people have joined Folding@Home's fight against COVID-19",Engadget,2020-03-23T16:26:00Z
94,Amazon will deliver at-home COVID-19 test kits in Seattle trial,Engadget,2020-03-23T22:03:00Z
95,Amazon reportedly in talks to test warehouse workers for COVID-19,Engadget,2020-04-04T19:20:00Z
96,Snapchat's new lens helps users donate to the WHO’s COVID-19 relief fund,Engadget,2020-04-07T20:06:54Z
97,Google makes it easy to find COVID-19 testing centers in search results,Engadget,2020-04-18T20:49:59Z
98,Apple shares more details of how COVID-19 contact tracing will work,Engadget,2020-04-12T19:52:29Z
99,Amazon may temporarily close French warehouses to assess COVID-19 risks,Engadget,2020-04-15T17:14:10Z
