,headline,source,date
0,headline,source,date
1,Stop Dancing on the Graves of Trump Supporters Who Die of the Virus,National Review,1587627143.39217
2,How the Media Completely Blew the Trump Ventilator Story,National Review,1587627136.618196
3,Beware Governor Declaring ‘God Did Not Do This’ — Help Us in Our Pandemic Pain. We Need All the Divine Help We Can Get.,National Review,1587482695.427868
4,The Problem with New York City’s COVID-19 Death-Rate Estimates,National Review,1587354471.589866
5,Trump Is Right about the WHO,National Review,1587310271.945861
6,Sen. Chris Murphy: ‘The Reason We Are in This Crisis Today Is Not Because of Anything China Did’,National Review,1587240726.77551
7,U.S. Diplomats Warned about Safety Risks in Wuhan Labs Studying Bats Two Years before Coronavirus Outbreak,National Review,1587159288.86255
8,The Trail Leading Back to the Wuhan Labs,National Review,1587142702.213006
9,"No, Trump Can’t Force States to Reopen",National Review,1587084782.257868
10,Powerful Americans Were Catastrophically Wrong about China,National Review,1587082939.709043
11,The Comprehensive Timeline of China’s COVID-19 Lies,National Review,1587033260.146905
12,Authoritarian Overreach Is Unnecessary to Fight the Pandemic,National Review,1586976259.354209
13,Trump Halts Funding to WHO Pending Review of Agency’s Handling of Coronavirus Pandemic,National Review,1586968747.273837
14,COVID-19 Projection Models Are Proving to Be Unreliable,National Review,1586910296.655603
15,Blaming China and WHO Isn’t Scapegoating,National Review,1586798164.142936
16,Japan to Pay Companies to Move Production Out of China,National Review,1586755796.759345
17,Dramatic Reduction in COVID-19 Disaster Projections,National Review,1586569628.8872
18,‘I Take My Personal Hygiene Very Seriously’: Chicago Mayor Lori Lightfoot Violates Her Own Quarantine Advice to Get a Haircut,National Review,1586549325.064135
19,How to Make China Pay,National Review,1586528761.915294
20,Conservative Pundits Weren’t the Only Ones to Get the Pandemic Wrong,National Review,1586481834.295413
21,All Signs Point to China,National Review,1586448654.343664
22,China Wants to Use the Coronavirus to Take Over the World,National Review,1586360660.137759
23,COVID-19 Mortality Rate: A Grim Update,National Review,1586030994.179624
24,U.S. Intelligence Concludes China Concealed Extent of Coronavirus Outbreak,National Review,1586030987.650437
25,Why China Must Be Held Accountable for the Coronavirus Pandemic,National Review,1586025000.508551
26,Wuhan Residents Dismiss Official Coronavirus Death Toll: ‘The Incinerators Have Been Working Around the Clock’,National Review,1585944843.675451
27,Ominous Reports Indicate China Hasn’t Contained the Coronavirus Yet,National Review,1585936279.138104
28,China Is Pushing a ‘Zero’ Myth on COVID-19,National Review,1585852974.930129
29,More Thoughts on Computing the COVID-19 Fatality Rate,National Review,1585665207.230221
30,"No, a COVID Scientist Didn’t Walk Back His Prediction",National Review,1585629150.698628
31,"China Supplied Faulty Coronavirus Test Kits to Spain, Czech Republic",National Review,1585602102.261113
32,‘Not Helpful’: Fauci Calls Out Media for ‘Pitting’ Him Against Trump,National Review,1585420296.638489
33,China Boomeranging,National Review,1585359469.309096
34,"No, President Trump Did Not Make Anyone Ingest Fish Tank Cleaner",National Review,1585322021.364424
35,"To Protect the Future, Hold China to Account",National Review,1585192818.773081
36,U.S. COVID-19 Fatality Rate Steady: About 1 Percent,National Review,1585151963.075822
37,President Trump Announces 30-Day Ban on Travel from Europe over Coronavirus Threat,National Review,1584083322.10569
38,President Trump Needs to Step Up on the Coronavirus,National Review,1584083319.277545
39,The Wrong Trump,National Review,1583169169.330146
40,"Court Rules Trump Admin Can Withhold Federal Grants to NYC, Seven States over Sanctuary Policies",National Review,1583006130.289273
41,Susan Collins Breaks With Trump on Director of National Intelligence Pick,National Review,1582849776.361248
42,Escape from Wuhan,National Review,1582697278.3657
43,Bloomberg’s China Apologetics Should Disqualify Him from the Presidency,National Review,1582652760.081689
44,Pelosi Objects to CNN Anchor’s Claim That Trump Was Acquitted in Impeachment Trial,National Review,1582246926.003283
45,"No, Trump Has Not Ended Obama’s War on the Suburbs",National Review,1582080794.991917
46,Understanding Why Religious Conservatives Would Vote for Trump,National Review,1582061754.19786
47,Trump Admin to Send Border Patrol Special Ops on Raids in Sanctuary Cities,National Review,1581996062.444923
48,A National Popular Vote for President Isn’t as Close as You Might Think,National Review,1581882005.738094
49,Being Fired by Trump Does Not Make You a Holocaust Victim,National Review,1581617105.164091
