,headline,source,date
0,Focus the Covid-19 Fight in Black Cities,The New York Times,2020-04-09T00:38:51+0000
1,A Family of Three Gets Sick With Covid-19 Symptoms. Who Has It?,The New York Times,2020-04-14T09:00:19+0000
2,Heartache in the Hot Zone: The Front Line Against Covid-19,The New York Times,2020-04-11T14:30:05+0000
3,"Late in the Game, Russia Steps Up to Covid-19",The New York Times,2020-04-07T05:00:07+0000
4,Police Chief Accused of Linking Deputy’s Covid-19 Death to ‘Homosexual Events’,The New York Times,2020-04-13T17:50:45+0000
5,‘Nobody Cares About the Little People’: Cruise Crews File Covid-19 Suit,The New York Times,2020-04-14T22:39:36+0000
6,Trump Has a Gut Feeling About What Covid-19 Means for 2020,The New York Times,2020-04-15T09:00:38+0000
7,The Racial Time Bomb in the Covid-19 Crisis,The New York Times,2020-04-02T02:06:30+0000
8,"Pastor Who Defied Social Distancing Dies After Contracting Covid-19, Church Says",The New York Times,2020-04-14T05:21:56+0000
9,Navy Captain Removed From Carrier Tests Positive for Covid-19,The New York Times,2020-04-05T15:55:54+0000
10,Google Searches Can Help Us Find Emerging Covid-19 Outbreaks,The New York Times,2020-04-05T15:32:39+0000
11,"Life, Covid-Free, After 22 Days in the Hospital",The New York Times,2020-04-03T22:37:33+0000
12,"My Father Didn’t Have Covid-19, but He Almost Died Because of It",The New York Times,2020-04-11T18:30:08+0000
13,Doctor Charged With Fraud After U.S. Says He Sold Treatment as ‘100 Percent’ Cure for Covid-19,The New York Times,2020-04-18T03:58:34+0000
14,"Asthma Is Absent Among Top Covid-19 Risk Factors, Early Data Shows",The New York Times,2020-04-16T14:35:51+0000
15,Don’t Let Trump’s Cult of Personality Make Covid-19 Worse,The New York Times,2020-04-08T09:00:20+0000
16,Why We Don’t Know the True Death Rate for Covid-19,The New York Times,2020-04-17T09:00:25+0000
17,This Won’t End for Anyone Until It Ends for Everyone,The New York Times,2020-04-07T09:00:14+0000
18,What Historians Will See When They Look Back on the Covid-19 Pandemic of 2020,The New York Times,2020-04-15T20:44:50+0000
19,The U.S.N.S. Comfort Is Now Taking Covid-19 Patients. Here’s What to Expect.,The New York Times,2020-04-08T09:00:31+0000
20,The U.S.N.S. Comfort Is Now Taking Covid-19 Patients. Here’s What to Expect.,The New York Times,2020-04-08T09:00:31+0000
21,The Real Tragedy of Not Having Enough Covid-19 Tests,The New York Times,2020-04-06T09:00:14+0000
22,Smokers and Vapers May Be at Greater Risk for Covid-19,The New York Times,2020-04-09T16:01:37+0000
23,"Hope, and New Life, in a Brooklyn Maternity Ward Fighting Covid-19",The New York Times,2020-04-12T09:01:15+0000
24,Brace Yourself for Waves of Coronavirus Infections,The New York Times,2020-04-04T18:37:00+0000
25,U.S. Deported Thousands Amid Covid-19 Outbreak. Some Proved to Be Sick.,The New York Times,2020-04-18T09:00:15+0000
26,‘It’s Hit Our Front Door’: Homes for the Disabled See a Surge of Covid-19,The New York Times,2020-04-08T22:32:59+0000
27,"‘Unbelievable’ Timing: As Coronavirus Rages, Trump Disregards Advice to Tighten Clean Air Rules",The New York Times,2020-04-14T13:16:51+0000
28,A New Covid-19 Crisis: Domestic Abuse Rises Worldwide,The New York Times,2020-04-06T14:46:37+0000
29,"Most New York Coronavirus Cases Came From Europe, Genomes Show",The New York Times,2020-04-09T01:55:45+0000
30,Putin’s Bleak Covid-19 Admission: ‘We Don’t Have Much to Brag About’,The New York Times,2020-04-13T18:03:45+0000
